>1 01 01 assets/Tile_3.png assets/Background_6.png assets/Item.mp3

08H 02 02 02 02 02 02 02 02 02 02 02 02 02 02 08
03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 03H
03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 03H
03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 03H
04 02 02 02 02 02 02 02 02 04 00 00 00 04 02 04
07 07 04 00 00 00 00 00 00 00 00 00 00 03 07 07
07 07 03H 00 00 00 00 00 00 00 00 00 00 03 07 07
07 07 03H 00 00 00 00 00 00 00 00 04 00 03 07 07
07 07 03H 00 00 01 01 01 01 01 01 01 01 03 07 07
07 07 03H 00 00 00 00 00 00 00 00 00 00 03 07 07
07 07 04 00 00 00 00 00 00 00 00 00 00 04 02V 04
04 01 01 01 01 01 01 01 01 01 00 00 00 00 00 03
04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 03
04 00 00 00 00 00 00 00 00 00 00 00 04 04 04 04
04 00 00 00 00 00 00 00 00 00 00 00 00 04 04 04
06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 06 

01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01
01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01
01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01
01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01
01 01 01 01 01 01 01 01 01 01 00 00 00 01 01 01
01 01 01 00 00 00 00 00 00 00 00 00 00 01 01 01
01 01 01 00 00 00 00 00 00 00 00 00 00 01 01 01
01 01 01 00 00 00 00 00 00 00 00 01 00 01 01 01
01 01 01 00 00 01 01 01 01 01 01 01 01 01 01 01
01 01 01 00 00 00 00 00 00 00 00 00 00 01 01 01
01 01 01 00 00 00 00 00 00 00 00 00 00 01 01 01
01 01 01 01 01 01 01 01 01 01 00 00 00 00 00 01
01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01
01 00 00 00 00 00 00 00 00 00 00 00 01 01 01 01
01 00 00 00 00 00 00 00 00 00 00 00 00 01 01 01
01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 01 



